Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
AFG,Russia,2004,,6,,aircraft engine,aircraft engine,6,,2005,New,Klimov TV-3-117 turboshaft; spare engines for Mi-24 combat helicopters,0.5,3,3
AFG,Russia,2002,?,1,,An-12,transport aircraft,1,?,2002,Second hand,Second-hand; aid,9.2,9.2,9.2
AFG,Russia,2002,,3,,Mi-17,transport helicopter,3,,2002,Second hand,Second-hand; aid,2.9,8.7,8.7
AFG,Russia,2004,?,4,,Mi-17,transport helicopter,4,?,2005,Second hand,Second-hand; aid; Mi-8MTV version,2.9,11.6,11.6
AFG,Russia,2009,,4,,Mi-17,transport helicopter,4,,2009,New,$43 m deal (bought via US company); Mi-17 version,7.25,29,29
AFG,Russia,2011,,21,,Mi-17,transport helicopter,21,,2011; 2012,New,$375m deal (bought via and financed by USA); Mi-17V-5 version,7.25,152.25,152.25
AFG,Russia,2010,,10,,Mi-17,transport helicopter,10,,2010,New,Mi-17V-5 version; financed by UAE,7.25,72.5,72.5
AFG,Russia,2010,?,6,?,Mi-17,transport helicopter,6,,2011,Second hand,Probably second-hand; Mi-17V1 version; bought via and financed by USA; incl for training of Afghan crews and US instructors in USA,2.9,17.4,17.4
AFG,Russia,2013,,12,,Mi-17,transport helicopter,12,,2013,New,$197 m deal (bought via and financed by USA); Mi-17V-5 version,7.25,87,87
AFG,Russia,2013,,30,,Mi-17,transport helicopter,30,,2014,New,$572 m deal (bought via and financed by USA); Mi-17V-5 version,7.25,217.5,217.5
AFG,Russia,2002,?,5,?,Mi-24D/Mi-25,combat helicopter,5,?,2002,Second hand,Second-hand; aid; status uncertain,3.3,16.5,16.5
AFG,Slovakia,2006,,24,?,D-30 122mm,towed gun,24,,2006,Second hand,Second-hand; aid,0.14,3.36,3.36
AFG,Slovakia,2007,,3,?,Mi-17,transport helicopter,3,?,2008,Second hand,Second-hand; aid,2.9,8.7,8.7
AFG,Switzerland,2012,,18,,PC-12,light transport aircraft,18,?,2013; 2014; 2015,New,$218 m deal; ordered via USA and possibly modified in USA for reconnaissance role before delivery,1.85,33.3,33.3
AFG,Turkiye,2007,,24,,M-114 155mm,towed gun,24,,2007,Second hand,Second-hand; aid,0.2,4.8,4.8
AFG,United Kingdom,2009,,2,,Mi-17,transport helicopter,2,,2010,Second hand,Second-hand Mi-17 version bought by UK for 'Project Curium' training of Afghan pilots in UK and donated to Afghanistan after end of programme,2.9,5.8,5.8
AFG,Ukraine,2007,,4,,An-32,transport aircraft,4,,2008,Second hand,Second-hand; $19 m deal (bought via and funded by USA); An-32B version,4.4,17.6,17.6
AFG,United States,2011,,41,?,ASV-150/M-1117,APC,41,?,2011; 2012,New,,0.45,18.45,18.45
AFG,United States,2011,,240,,ASV-150/M-1117,APC,240,?,2012; 2013,New,$257 m deal; MSFV version; incl command; ARV; AEV; ambulance and mortar carrier versions,0.45,108,108
AFG,United States,2012,,71,,ASV-150/M-1117,APC,71,?,2014,New,$79 m deal; MSFV version,0.45,31.95,31.95
AFG,United States,2013,,135,,ASV-150/M-1117,APC,135,?,2014; 2015,New,$113 m deal; MSFV version,0.45,60.75,60.75
AFG,United States,2012,?,136,?,ASV-150/M-1117,APC,136,?,2013; 2014,New,MSFV version,0.45,61.2,61.2
AFG,United States,2015,,55,,ASV-150/M-1117,APC,55,,2015,New,,0.45,24.75,24.75
AFG,United States,2017,,55,?,ASV-150/M-1117,APC,55,,2018; 2019,New,,0.45,24.75,24.75
AFG,United States,2019,?,55,?,ASV-150/M-1117,APC,55,?,2020,New,Aid; MSFV version,0.45,24.75,24.75
AFG,United States,2012,?,4,,C-130H Hercules,transport aircraft,4,,2013; 2014; 2015,Second hand,Second-hand; aid,11.2,44.8,44.8
AFG,United States,2011,,6,,Cessna-180 Skywagon,light aircraft,6,?,2011,New,Part of $88 m deal; Cessna-182T version; for training,0.18,1.08,1.08
AFG,United States,2011,,26,,Cessna-208 Caravan,light transport aircraft,26,?,2011; 2012,New,Part of $88 m deal; probably aid; Cessna-208B version,1,26,26
AFG,United States,2018,,10,,Cessna-208 Caravan,light transport aircraft,10,?,2018; 2019; 2020,New,$86 m deal; aid; armed Cessna-208B version,1,10,10
AFG,United States,2006,,800,?,HMMWV-UA,APV,800,?,2007; 2008,Second hand,Second-hand; aid,0.05,41.6,41.6
AFG,United States,2008,,4735,?,HMMWV-UA,APV,4735,?,2008; 2009; 2010; 2011,New,$760 m deal; aid; M-1151 and M-1152 versions,0.13,615.55,615.55
AFG,United States,2010,,4002,,HMMWV-UA,APV,4002,?,2011; 2012; 2013,New,Part of $1 b deal; M-1152A1B2 version; incl for police,0.13,520.26,520.26
AFG,United States,2010,,237,?,HMMWV-UA,APV,237,?,2012,New,$45 m deal; incl 137 M-1152 and 100 M-1151 version,0.13,30.81,30.81
AFG,United States,2010,,2566,,HMMWV-UA,APV,2566,?,2011; 2012,Second hand,Second-hand; M-1114 version,0.05,133.43,133.43
AFG,United States,2011,,744,?,HMMWV-UA,APV,744,?,2012,New,,0.13,96.72,96.72
AFG,United States,2016,,1673,,HMMWV-UA,APV,1673,?,2016; 2017,New,$356 m deal; incl 1259 M-1151A1B1 and 414 M-1151A1B2 version,0.13,217.49,217.49
AFG,United States,2016,,433,,HMMWV-UA,APV,433,,2017,New,$109 m deal; incl 360 M-1152A1B2 and 73 M-1151A1B1 version,0.13,56.29,56.29
AFG,United States,2017,,4300,?,HMMWV-UA,APV,4300,?,2018; 2019; 2020; 2021,New,Aid; more ordered but cancelled after Taliban took power in Afghanistan mid-2021,0.13,559,559
AFG,United States,2017,,1673,?,HMMWV-UA,APV,1673,?,2018; 2019; 2020; 2021,Second hand,Second-hand; aid,0.05,87,87
AFG,United States,2004,?,188,?,M-113,APC,188,?,2005,Second hand,Second-hand; aid; M-113A2 version; incl 15 M-577A2 command post version,0.1,18.8,18.8
AFG,United States,2014,,222,,MaxxPro,APC,222,,2015,Second hand,Second-hand; incl 20 recovery vehicle version; aid,0.13,28.42,28.42
AFG,United States,2011,,6,,MD-500E,light helicopter,6,,2011,New,$17-20 m aid; MD-530F version; incl for training (but armed 2015),0.7,4.2,4.2
AFG,United States,2014,,12,,MD-500E,light helicopter,12,,2015,New,Armed MD-530F version,0.7,8.4,8.4
AFG,United States,2015,?,12,,MD-500E,light helicopter,12,,2016,New,Armed MD-530F version,0.7,8.4,8.4
AFG,United States,2017,,30,,MD-500E,light helicopter,30,,2018; 2019,New,Armed MD-530F version; Afghan designation Jengi,0.7,21,21
AFG,United States,2019,,12,,MD-500E,light helicopter,12,,2020; 2021,New,Armed MD-530F version; Afghan designation Jengi,0.7,8.4,8.4
AFG,United States,2017,?,250,?,Paveway,guided bomb,250,?,2017; 2018; 2019,New,Paveway-2 version; for Super Tucano (A-29B) trainer/combat aircraft,0.02,5,5
AFG,United States,2016,,53,,S-70 Black Hawk,transport helicopter,53,?,2017; 2018; 2019; 2020,Second hand but modernized,Second-hand UH-60A modernized to UH-60A+ before delivery; aid,4.29,227.37,227.37
AFG,United States,2015,,65,,ScanEagle,UAV,65,?,2016; 2017; 2018,New,$71 m deal,0.04,2.6,2.6
AFG,United States,2017,,5,?,ScanEagle,UAV,5,?,2018,New,$19.6 m deal,0.04,0.2,0.2
AFG,United States,2018,,35,,ScanEagle,UAV,35,?,2019,New,$58 m deal (incl operational support),0.04,1.4,1.4
AFG,unknown supplier(s),2007,?,6,,Mi-17,transport helicopter,6,,2008,Second hand,Probably second-hand; financed by UAE,2.9,17.4,17.4
BAH,Belgium,2007,?,42,,AIFV,IFV,42,,2008,Second hand,Second-hand,0.36,15.12,15.12
BAH,Belgium,2007,?,8,?,AIFV-APC,APC,8,,2008,Second hand,Second-hand,0.12,0.96,0.96
BAH,Belgium,2014,?,45,,AIFV-APC,APC,45,?,2015; 2016,Second hand,Second-hand; designation uncertain (reported as 'armoured combat vehicles' and 'M-113 Family of Vehicles'),0.12,5.4,5.4
BAH,Canada,2014,,27,,AGM-65 Maverick,ASM,27,,2016,New,Second-hand,0.15,4.05,4.05
BAH,China,2015,?,4,?,SR-5,self-propelled MRL,4,?,2016,New,,1.1,4.4,4.4
BAH,France,2009,?,20,?,Black Scorpion,APC/APV,20,?,2011; 2012; 2013; 2014,New,Probably assembled in Bahrain; Bahraini designation probably Faisal,0.14,2.8,2.8
BAH,France,2009,?,17,?,MM-40 Exocet,anti-ship missile,17,?,2010,New,Designation uncertain (reported as 'missiles'),0.9,15.3,15.3
BAH,Italy,2015,,6,,Orion RTN-25X,fire control radar,6,?,2018; 2019; 2021; 2022,New,NA-25X version; for modernization of 4 TNC-45 (El Fateh) FAC and 2 MGB-62 (Al Manama) corvettes,2.5,15,15
BAH,Italy,2015,,6,,SPS-732,sea search radar,6,?,2018; 2019; 2021; 2022,New,For modernization of 4 TNC-45 (El Fateh) FAC and 2 MGB-62 (Al Manama) corvettes,2,12,12
BAH,Jordan,2019,?,20,?,Al-Jawad,APC,20,?,2019,New,,0.16,3.2,3.2
BAH,Malta,2004,,1,,BAe-146,transport aircraft,1,,2004,Second hand,Second-hand; $8.1 m deal; RJ-85 version; bought and delivered via UK,10,10,10
BAH,Oman,2005,,6,,Nimer-1,APC,6,?,2005,New,Recipient uncertain,0.14,0.84,0.84
BAH,Pakistan,2018,,6,,Interceptor,APV,6,,2019,New,,0.14,0.84,0.84
BAH,Russia,2017,?,264,?,Igla-S,portable SAM,264,,2018,New,Designation uncertain (reported as 'MANPADS'),0.08,21.12,21.12
BAH,Russia,2014,,250,?,Kornet,anti-tank missile,250,?,2016,New,Kornet-EM version,0.04,10,10
BAH,Turkiye,2010,,60,?,ARMA,APC,60,?,2012,New,$63 m deal,0.27,16.2,16.2
BAH,Turkiye,2010,,13,,ARMA,APC,13,?,2011,New,$11 m deal,0.27,3.51,3.51
BAH,Turkiye,2018,?,216,?,CIRIT,ASM,216,?,2020,New,For AH-1F combat helicopters modernized to AH-1FB version,0.01,2.16,2.16
BAH,Turkiye,2004,,21,,Cobra,APV,21,,2005,New,Designation uncertain (reported as 'armoured combat vehicle'),0.15,3.15,3.15
BAH,Turkiye,2006,?,15,?,Cobra,APV,15,,2008,New,,0.15,2.25,2.25
BAH,Turkiye,2020,?,35,?,Cobra-2,APC,35,?,2022,New,,0.3,10.5,10.5
BAH,Turkiye,2011,?,397,?,ZPT,APV,397,?,2012; 2013; 2016; 2017; 2018; 2019; 2020,New,Could incl other armoured vehicles,0.11,43.67,43.67
BAH,UAE,2008,,2,,L-42,landing craft,2,,2010,New,Bahraini designation Dinar,7.4,14.8,14.8
BAH,United Kingdom,2001,,1,,BAe-146,transport aircraft,1,,2001,New,$25 m deal; Avro RJ-85 version,25,25,25
BAH,United Kingdom,2017,,2,,C-130J Hercules,transport aircraft,2,?,2018,Second hand,Second-hand; Hercules C-5 version,16,32,32
BAH,United Kingdom,2003,,6,,Hawk-100,trainer/combat aircraft,6,,2006,New,Hawk-129 version,10,60,60
BAH,United Kingdom,2020,,1,,River Batch-1,OPV,1,,2020,Second hand,Second-hand; Bahraini desugnation Al-Zubara,15.2,15.2,15.2
BAH,United Kingdom,2002,,3,,T-67 Firefly,trainer aircraft,3,,2003,New,T-67M260 version,0.16,0.48,0.48
BAH,United States,2018,?,14,?,AGM-114 Hellfire-2,anti-tank missile/ASM,14,?,2022; 2023,New,For AH-1Z combat helicopters,0.05,0.7,0.7
BAH,United States,2019,?,47,,AGM-154 JSOW,guided glide bomb,0,,,New,For F-16V combat aircraft; delivery planned by 2028,0.4,18.8,0
BAH,United States,2019,,50,?,AGM-88 HARM,anti-radar missile,0,,,New,,0.25,12.5,0
BAH,United States,2001,,12,?,AH-1F Cobra,combat helicopter,12,?,2005; 2007,Second hand,Second-hand,3,36,36
BAH,United States,2018,,12,,AH-1Z Viper,combat helicopter,12,,2022; 2023,New,,14.5,174,174
BAH,United States,2010,?,25,,AIM-120C AMRAAM,BVRAAM,25,,2015,New,AIM-120C-7 version,0.6,15,15
BAH,United States,2019,?,32,?,AIM-120D AMRAAM,BVRAAM,0,,,New,,0.8,25.6,0
BAH,United States,2019,,32,,AIM-9X Sidewinder,BVRAAM,0,,,New,,0.18,5.76,0
BAH,United States,2018,?,2,?,aircraft engine,aircraft engine,2,?,2022; 2023,New,General Electric T-700-701C (1880hp) turboshaft; spares for AH-1Z combat helicopters,0.5,1,1
BAH,United States,2018,,56,,WGU-59 APKWS,ASM,56,?,2022; 2023,New,APKWS-2 version; for AH-1Z combat helicopters,0.01,0.56,0.56
BAH,United States,2011,,30,?,ATACMS Block-1A,SSM,30,?,2013,New,$70 m deal; ATACMS Block-1A version,2,60,60
BAH,United States,2019,?,110,?,ATACMS Block-1A,SSM,110,?,2021; 2022,New,,2,220,220
BAH,United States,2022,,,,Bell-505 Jet Ranger X,light helicopter,3,?,2023,New,From Canadian production line,0.9,0,2.7
BAH,United States,2017,?,9,,Cougar,APC,9,,2017,Second hand,Second-hand; aid,0.14,1.26,1.26
BAH,United States,2021,?,5,,Cyclone,patrol craft,5,,2022,Second hand,Second-hand,8.6,43,43
BAH,United States,2019,,6,,DB-110,aircraft recce system,0,,,New,For F-16V combat aircraft,4,24,0
BAH,United States,2017,,16,,F-16V Viper,FGA aircraft,3,,2023,New,$2.3 b deal; incl 6 F-16D trainer/combat version; delivery planned 2023-2025,40,640,120
BAH,United States,2015,,24,,GMLRS,guided rocket,24,?,2017,New,,0.08,1.92,1.92
BAH,United States,2018,?,720,?,GMLRS,guided rocket,720,?,2021,New,,0.08,57.6,57.6
BAH,United States,2006,,180,,FGM-148 Javelin,anti-tank missile,180,?,2007; 2008,New,$42 m deal (incl 60 launchers),0.03,5.4,5.4
BAH,United States,2019,?,190,?,JDAM,guided bomb,0,,,New,,0.02,3.8,0
BAH,United States,2021,?,12,,K-6 120mm,mortar,12,,2022,New,Designation uncertain (reported as '129mm mortar' - which probably is typo for 120mm),0.25,3,3
BAH,United States,2005,,1,,King Air,light transport aircraft,1,,2006,New,King Air-350; incl for MP,2.85,2.85,2.85
BAH,United States,2011,?,1,,M-106,self-propelled mortar,1,,2017,Second hand,Second-hand; M-106A2 version; probably for spares only,0.2,0.2,0.2
BAH,United States,2004,?,20,?,M-109A5 155mm,self-propelled gun,20,,2005,New,Possibly second-hand,1.25,25,25
BAH,United States,2003,,105,?,M-113,APC,105,?,2005,Second hand,Second-hand; aid; M-113A2 version,0.1,10.5,10.5
BAH,United States,2009,,100,?,M-113,APC,100,,2010,Second hand,Second-hand; M-113A2 version,0.1,10,10
BAH,United States,2011,?,121,?,M-113,APC,121,?,2017; 2018,Second hand,Second-hand; M-113A2 version (incl M-577A2 command post version),0.1,12.1,12.1
BAH,United States,2012,,12,,M-198 155mm,towed gun,12,,2017,Second hand,Second-hand,0.34,4.08,4.08
BAH,United States,2018,,6,,M-198 155mm,towed gun,6,,2019,Second hand,Second-hand,0.34,2.04,2.04
BAH,United States,2019,,36,,MIM-104 PAC-2,SAM,36,?,2022; 2023,New,Patriot GEM-T version,1,36,36
BAH,United States,2019,,60,,MIM-104 PAC-3 MSE,ABM missile,60,?,2022; 2023,New,,1.5,90,90
BAH,United States,2019,,2,?,Patriot Configuration-3,SAM system,2,?,2022; 2023,New,,55,110,110
BAH,United States,2019,,1,,Perry,frigate,0,,,Second hand but modernized,Second-hand but modernized before delivery,198,198,0
BAH,United States,2007,,8,,S-70 Black Hawk,transport helicopter,8,,2010,New,UH-60M version; incl for CSAR,7.25,58,58
BAH,United States,2002,,11,?,RIM-66B Standard-1MR,SAM,11,?,2002; 2003,Second hand,Second-hand; aid,0.1,1.1,1.1
BAH,United States,2017,,16,?,AAQ-33 Sniper ATP,aircraft EO system,3,?,2023,New,For F-16V combat aircraft,1,16,3
BAH,United States,2018,,2,,Swiftships-35,patrol craft,2,,2021,New,Bahraini designation Mashoor,5.5,11,11
BAH,United States,2016,,264,?,BGM-71 TOW,anti-tank missile,264,?,2017; 2018,New,BGM-71E TOW-2A and BGM-71H TOW-2A version,0.01,2.64,2.64
BAH,United States,2017,,221,?,BGM-71F TOW-2B,anti-tank missile,221,?,2018,New,Incl 107 BGM-71-4B-RF TOW-2A; 22 BGM-71F Tow-2B Aero and 37 BGM-71FI-RF TOW-BB version,0.02,4.42,4.42
BAH,United States,2004,,1,,TPS-59,air search radar,1,,2007,New,$44 m deal; AN/TPS-59(V)3 version,15,15,15
EGY,Austria,2001,,4,?,Camcopter S-100,UAV,4,?,2002,New,Financed by US 'FMF' aid,0.2,0.8,0.8
EGY,Austria,2001,,108,,M-60A1 Patton-2,tank,108,,2002,Second hand,Second-hand; $27 m deal,0.72,77.76,77.76
EGY,Canada,2010,,6,?,aircraft engine,aircraft engine,6,?,2011,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 3 C-295 transport aircraft from Spain,0.75,4.5,4.5
EGY,Canada,2012,,6,?,aircraft engine,aircraft engine,6,?,2013,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 3 C-295 transport aircraft from Spain,0.75,4.5,4.5
EGY,Canada,2013,,12,?,aircraft engine,aircraft engine,12,?,2013; 2014,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 6 C-295 transport aircraft from Spain,0.75,9,9
EGY,Canada,2014,,16,?,aircraft engine,aircraft engine,16,?,2015; 2016,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 8 C-295 transport aircraft from Spain,0.75,12,12
EGY,Canada,2015,,8,?,aircraft engine,aircraft engine,8,?,2016,New,Pratt & Whitney Canada PW-127G (2650hp) turboprop for 4 C-295 transport aircraft from Spain,0.75,6,6
EGY,Canada,2011,?,10,?,Gurkha,APV,10,?,2012,New,,0.16,1.6,1.6
EGY,China,2010,?,18,,ASN-209,UAV,18,?,2012; 2013; 2014,New,Produced under licence in Egypt,0.2,3.6,3.6
EGY,China,2018,?,500,?,Blue Arrow-7,anti-tank missile,0,,,New,For Wing Loong-1 UAV,0.04,20,0
EGY,China,2016,?,200,?,Blue Arrow-7,anti-tank missile,200,?,2016; 2017; 2018,New,For Wing Loong UAV,0.04,8,8
EGY,China,2004,,40,,K-8,trainer/combat aircraft,40,?,2007; 2008; 2009; 2010,New,K-8E version; assembled from kits in Egypt,3.5,140,140
EGY,China,2018,?,600,?,TL-2,ASM,0,,,New,For Wing Loong-1 UAV,0.01,6,0
EGY,China,2016,?,200,?,TL-2,ASM,200,?,2016; 2017; 2018,New,For Wing Loong UAV,0.01,2,2
EGY,China,2016,?,10,?,Wing Loong-1,armed UAV,10,?,2016; 2017; 2018,New,,3,30,30
EGY,China,2018,,32,?,Wing Loong-1,armed UAV,0,,,New,Wing Loong-1D version,3,96,0
EGY,Finland,2006,,4,,Project-205,FAC,4,,2006,Second hand,Second-hand; Osa-2 version; Finnish designation Tuima; possibly for spare parts only,17,68,68
EGY,Finland,2015,,2,,ship engine,ship engine,2,,2016,New,W-18V200 (8300hp) diesel engine; for 2 Mistral AALS from France,2.5,5,5
EGY,Finland,2015,,6,,ship engine,ship engine,6,,2016,New,Wärtsilä-16V32 (8300hp) diesel engine;or 2 Mistral AALS from France,3,18,18
EGY,France,2015,,500,?,AASM Hammer,ASM,500,?,2016; 2017; 2018; 2019,New,For Rafale combat aircraft,0.2,100,100
EGY,France,2022,?,100,?,Akeron-MP,anti-tank missile,100,?,2022; 2023,New,,0.03,3,3
EGY,France,2015,,25,?,ASTER-15 SAAM,SAM,25,?,2015,New,For FREMM frigate,0.3,7.5,7.5
EGY,France,2020,,2,,BlueMaster,ASW sonar,2,,2020; 2021,New,For 2 FREMM frigates from Italy,10,20,20
EGY,France,2015,,2,,EDAR,landing craft,2,,2016,New,For use with Mistral AALS,10,20,20
EGY,France,2014,?,50,?,MM-40-3 Exocet,anti-ship/land-attack missile,50,?,2017; 2021; 2022; 2023,New,For Gowind frigates,1,50,50
EGY,France,2015,,15,?,MM-40-3 Exocet,anti-ship/land-attack missile,15,?,2015,New,For FREMM frigate,1,15,15
EGY,France,2019,?,60,?,MM-40-3 Exocet,anti-ship/land-attack missile,45,?,2022; 2023,New,For MEKO-200 frigates from Germany,1,60,45
EGY,France,2015,,1,,FREMM,frigate,1,,2015,New,,482.95,482.95,482.95
EGY,France,2014,,4,,Gowind-2500,frigate,4,?,2017; 2021; 2022; 2023,New,EUR1 b deal (incl option on 2 more); incl 3 produced under licence in Egypt; Egyptian designation El Fateh,211,844,844
EGY,France,2015,,100,?,MICA,BVRAAM,100,?,2017; 2021; 2022; 2023,New,For Gowind frigates,0.4,40,40
EGY,France,2015,,150,?,MICA,BVRAAM,150,?,2015; 2016; 2017; 2018; 2019,New,For Rafale combat aircraft,0.4,60,60
EGY,France,2020,,200,?,MICA,BVRAAM,150,?,2022; 2023,New,MICA-NG version; for MEKO-200 frigates from Germany,0.4,80,60
EGY,France,2015,,2,,Mistral,AALS,2,,2016,New,EUR950 m ($1 b) deal; originally produced for Russia but cancelled 2015 after EU sanctions on Russia and sold to Egypt; Egyptian designation Nasser,338.5,677,677
EGY,France,2006,?,3,,MRR-3D,air search radar,3,,2013; 2015,New,For 3 Ambassador-4 corvettes from USA; possibly from US production line,10,30,30
EGY,France,2010,?,1,,MRR-3D,air search radar,1,,2015,New,For 1 Ambassador-4 corvette from USA,10,10,10
EGY,France,2019,,50,?,MU-90 IMPACT,ASW torpedo,35,?,2022; 2023,New,For 4 MEKO-200 frigates,0.5,25,17.5
EGY,France,2015,,24,,Rafale,FGA aircraft,24,,2015; 2016; 2017; 2018; 2019,New,Part of $5.2-6 b deal; incl 8 Rafale-EM and 16 Rafale-DM version,55,1320,1320
EGY,France,2021,,30,,Rafale,FGA aircraft,0,,,New,EUR3.8-4 b deal (incl up to 85% financed by loan),55,1650,0
EGY,France,2012,,173,?,Sherpa,APC/APV,173,,2013; 2014,New,,0.25,43.25,43.25
EGY,France,2011,,18,?,Sherpa,APC/APV,18,?,2012,New,For police,0.25,4.5,4.5
EGY,France,2015,?,50,?,Storm Shadow/SCALP-EG,ASM,50,?,2021; 2022,New,SCALP version; for Rafale combat aircraft,0.64,32,32
EGY,France,2015,,12,?,TALIOS,aircraft EO system,12,?,2016; 2017; 2018,New,For Rafale combat aircraft,1,12,12
EGY,France,2021,,4,,VL-MICA-M,naval SAM system,3,,2022; 2023,New,For MEKO-200 frigates; VL-MICA NG version,5,20,15
EGY,Germany,2017,?,330,?,AIM-9L/I Sidewinder,SRAAM,330,?,2018; 2019; 2020,New,Probably AIM-9L/I-1 version,0.12,39.6,39.6
EGY,Germany,2002,,5,,Combattante-2,FAC,5,,2002; 2003,Second hand,Second-hand; EUR18 m deal; Type-148 (Tiger) version,22,110,110
EGY,Germany,2020,,9,,FPB-40,patrol craft,9,?,2020; 2021,New,Part of USD158 m deal; originally ordered by Saudi Arabia but delivery embargoed by Germany and sold to Egypt; OPB-41/CSB-40 version,12,108,108
EGY,Germany,2020,,1,,IPV-60,OPV,1,,2021,New,Part of USD158 m deal; originally ordered by Saudi Arabia but delivery embargoed by Germany and sold to Egypt,17.5,17.5,17.5
EGY,Germany,2021,?,,,IRIS-T,BVRAAM,0,,,New,For IRIS-T SLS SAM systems,0.2,0,0
EGY,Germany,2018,?,7,,IRIS-T SL,SAM system,2,?,2021,New,IRIS-T SLM version,25,175,50
EGY,Germany,2021,?,6,,IRIS-T SL,SAM system,0,,,New,IRIS-T SLS version,25,150,0
EGY,Germany,2018,?,400,?,IRIS-T SLM,SAM,100,?,2021,New,For IRIS-T SLM SAM system,0.4,160,40
EGY,Germany,2021,?,10,,IRIS-T SLX,SAM system,0,,,New,,0,0,0
EGY,Germany,2002,,1,,Lueneburg,support ship,1,,2003,Second hand,Second-hand,17.02,17.02,17.02
EGY,Germany,2019,,4,,MEKO-A200,frigate,3,,2022; 2023,New,Incl 1 produced under licence in Egypt,261.25,1045,783.75
EGY,Germany,2005,,139,?,RIM-116A RAM,SAM,139,,2014,New,Part of $25 m deal; RIM-116B Block-1A version for Ambassador-4 corvettes,0.14,19.46,19.46
EGY,Germany,2015,?,125,?,DM2A4 Seehecht,anti-ship/ASW torpedo,125,?,2016; 2017; 2019; 2020; 2021,New,For Type-209 submarines,1.8,225,225
EGY,Germany,2019,,25,?,DM2A4 Seehecht,anti-ship/ASW torpedo,15,?,2022; 2023,New,For MEKO-A200 frigates,1.8,45,27
EGY,Germany,2015,,4,,ship engine,ship engine,4,,2015,New,MTU 16V4000 (2820hp) diesel engine for FREMM frigate from France,1.2,4.8,4.8
EGY,Germany,2006,,12,,ship engine,ship engine,12,?,2013; 2015,New,MTU-16V-595 (5400hp) diesel engine; for 3 Ambassador-4 corvettes from USA,1.5,18,18
EGY,Germany,2010,?,4,,ship engine,ship engine,4,,2015,New,MTU-16V-595 (5500hp) diesel engine; for 1 Ambassador-4 corvette from USA,1.5,6,6
EGY,Germany,2014,,8,,ship engine,ship engine,8,?,2017; 2021; 2022; 2023,New,MTU 6700hp diesel engine for 4 Gowind-2500 (El Fateh) frigates from France,2.5,20,20
EGY,Germany,2012,?,2,,Type-209/1400,submarine,2,,2016; 2017,New,,170,340,340
EGY,Germany,2014,?,2,,Type-209/1400,submarine,2,,2020; 2021,New,,170,340,340
