Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
ALG,Soviet Union,1965,?,20,?,ISU-122 122mm,self-propelled gun,20,?,1966,Second hand,Second-hand,0.26,5.2,5.2
ALG,Soviet Union,1965,?,6,?,ISU-152 152mm,self-propelled gun,6,?,1966,Second hand,Second-hand,0.26,1.56,1.56
ALG,Soviet Union,1965,?,250,?,K-13A,SRAAM,250,?,1965; 1966; 1967,New,For MiG-21 combat aircraft,0.04,10,10
ALG,Soviet Union,1971,?,200,?,K-13A,SRAAM,200,?,1972; 1973,New,For Su-7 combat aircraft,0.04,8,8
ALG,Soviet Union,1976,?,1500,?,K-13M,SRAAM,1500,?,1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,New,For MiG-21; MiG-23 and Su-20 combat aircraft,0.07,105,105
ALG,Soviet Union,1980,?,400,?,Konkurs,anti-tank missile,400,?,1981; 1982,New,For BRDM-2 tank destroyers,0.02,8,8
ALG,Soviet Union,1982,?,10,,Kvadrat,SAM system,10,?,1982; 1983; 1984; 1985; 1986,New,,17.5,175,175
ALG,Soviet Union,1965,?,60,?,M-30 122mm,towed gun,60,?,1966; 1967; 1968; 1969,Second hand,Second-hand,0.18,10.8,10.8
ALG,Soviet Union,1982,?,10,?,M-46 130mm,towed gun,10,?,1982,Second hand,Second-hand,0.26,2.6,2.6
ALG,Soviet Union,1973,?,9000,?,Malyutka,anti-tank missile,9000,?,1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986,New,Incl for BMP-1 IFV and Mi-24 helicopters,0.01,90,90
ALG,Soviet Union,1963,?,3,?,Mi-1,light helicopter,3,,1965,Second hand,Second-hand,0.12,0.36,0.36
ALG,Soviet Union,1988,?,41,,Mi-2,light helicopter,41,,1989; 1990,New,From Polish production line; incl for police,1.1,45.1,45.1
ALG,Soviet Union,1977,?,6,?,Mi-24A,combat helicopter,6,?,1979,Second hand,Second-hand,2.65,15.89,15.89
ALG,Soviet Union,1977,?,12,?,Mi-24D/Mi-25,combat helicopter,12,?,1980,New,Probably incl some Mi-24A version,8.25,99,99
ALG,Soviet Union,1980,?,18,?,Mi-24D/Mi-25,combat helicopter,18,?,1981; 1982; 1983,New,,8.25,148.5,148.5
ALG,Soviet Union,1965,,30,?,Mi-4A,helicopter,30,?,1966; 1967,New,,1.88,56.4,56.4
ALG,Soviet Union,1962,?,10,?,Mi-4A,helicopter,10,?,1962,New,,1.88,18.8,18.8
ALG,Soviet Union,1972,?,4,?,Mi-6T,transport helicopter,4,?,1972,New,No. could be 5,18,72,72
ALG,Soviet Union,1974,?,35,?,Mi-8T,transport helicopter,35,?,1975; 1979; 1980; 1981; 1982; 1983; 1984; 1985,New,,6,210,210
ALG,Soviet Union,1961,?,15,?,MiG-15bis,fighter aircraft,15,?,1964,Second hand,Second-hand; based in Libya before independence and delivered to Algeria after independence; probably aid,1.36,20.4,20.4
ALG,Soviet Union,1962,,20,?,MiG-15UTI,trainer aircraft,20,?,1964; 1965,Second hand,Probably second-hand,1.2,24,24
ALG,Soviet Union,1965,,30,?,MiG-17,fighter aircraft,30,?,1965; 1966,Second hand,Second-hand,1.4,42,42
ALG,Soviet Union,1961,?,20,?,MiG-17,fighter aircraft,20,?,1963; 1964,Second hand,Second-hand,1.4,28,28
ALG,Soviet Union,1980,?,15,?,MiG-21bis,fighter aircraft,15,?,1981,New,,12.5,187.5,187.5
ALG,Soviet Union,1965,?,32,?,MiG-21F-13,fighter aircraft,32,?,1966; 1967,New,,9,288,288
ALG,Soviet Union,1965,?,6,?,MiG-21F-13,fighter aircraft,6,?,1965,New,,9,54,54
ALG,Soviet Union,1976,?,86,?,MiG-21MF,fighter aircraft,86,?,1977; 1978,New,Incl some MiG-21UM trainer version,10.7,920.2,920.2
ALG,Soviet Union,1980,?,50,?,MiG-23BN,FGA aircraft,50,?,1981; 1982; 1983; 1984; 1985,New,Probably incl MiG-23UB trainer version,11.5,575,575
ALG,Soviet Union,1977,?,45,?,MiG-23MS,fighter aircraft,45,?,1978; 1979; 1980,New,Probably incl MiG-23UM trainer version,13,585,585
ALG,Soviet Union,1978,?,20,?,MiG-25P,fighter aircraft,20,?,1979,New,Incl some MiG-25U version,30,600,600
ALG,Soviet Union,1978,,9,?,MiG-25RB,reconnaissance aircraft,9,?,1978; 1979,New,,30,270,270
ALG,Soviet Union,1963,?,20,?,ML-20 152mm,towed gun,20,?,1964,Second hand,Second-hand,0.2,4,4
ALG,Soviet Union,1978,?,20,?,Osa,mobile SAM system,20,?,1980; 1981,New,,10,200,200
ALG,Soviet Union,1978,,2,,P-12,air search radar,2,?,1978; 1979,New,For use with S-75 (SA-2) and S-125 (SA-3) SAM systems,4.5,9,9
ALG,Soviet Union,1965,,1,,P-12,air search radar,1,?,1966,New,For use with S-75 (SA-2) SAM systems,4.5,4.5,4.5
ALG,Soviet Union,1982,?,2,?,P-12,air search radar,2,?,1984; 1986,New,For use with 2K12 (SA-6) SAM systems,4.5,9,9
ALG,Soviet Union,1966,?,50,?,P-15,anti-ship missile,50,?,1967,New,For Project-205 (Osa-1) and Project-183 (Komar) FAC,0.6,30,30
ALG,Soviet Union,1978,,2,,P-15,air search radar,2,?,1978; 1979,New,For use with S-75 (SA-2) and S-125 (SA-3) SAM systems,4.5,9,9
ALG,Soviet Union,1965,,1,,P-15,air search radar,1,?,1966,New,For use with S-75 (SA-2) SAM systems,4.5,4.5,4.5
ALG,Soviet Union,1982,?,2,?,P-15,air search radar,2,?,1984; 1986,New,For use with 2K12 (SA-6) SAM systems,4.5,9,9
ALG,Soviet Union,1979,?,25,?,P-15M,anti-ship missile,25,?,1980; 1981; 1982,New,For Nanuchka-2 corvettes,0.75,18.75,18.75
ALG,Soviet Union,1986,?,75,?,P-15M,anti-ship missile,75,?,1986; 1987,New,P-20 (SS-C-3) version for coast defence systems,0.75,56.25,56.25
ALG,Soviet Union,1975,?,75,?,P-15U,anti-ship missile,75,?,1976; 1977; 1978; 1979; 1980; 1981,New,For Project-205M (Osa-2) FAC,0.7,52.5,52.5
ALG,Soviet Union,1978,,2,,P-40,air search radar,2,?,1981,New,For use with 9K33 (SA-8) SAM systems,8,16,16
ALG,Soviet Union,1982,?,2,?,P-40,air search radar,2,?,1984; 1986,New,For use with 2K12 (SA-6) SAM systems,8,16,16
ALG,Soviet Union,1962,?,120,?,PM-43 120mm,mortar,120,?,1962; 1963; 1964; 1965,Second hand,Probably second-hand,0.1,12,12
ALG,Soviet Union,1977,?,2,,Project-1159,corvette,2,,1980; 1982,New,Algerian designation Mourad Rais,125,250,250
ALG,Soviet Union,1982,?,1,,Project-1159,corvette,1,?,1985,New,Algerian designation Mourad Rais,125,125,125
ALG,Soviet Union,1979,?,3,,Project-1234,corvette,3,,1980; 1981; 1982,New,Algerian designation Hamidou,65,195,195
ALG,Soviet Union,1963,?,12,,Project-183,FAC,12,?,1963; 1964; 1965; 1966; 1967; 1968,Second hand,Second-hand,4,48,48
ALG,Soviet Union,1966,?,6,,Project-183R,FAC,6,,1967,Second hand,Second-hand,6,36,36
ALG,Soviet Union,1975,?,9,,Project-205,FAC,9,,1976; 1977; 1978; 1979; 1981,Second hand,Second-hand; Osa-2 version,17,153,153
ALG,Soviet Union,1967,?,3,,Project-205,FAC,3,,1967,New,Second-hand (but maximum only few years old); Osa-1 version,42.5,127.5,127.5
ALG,Soviet Union,1968,?,2,,Project-254,minesweeper,2,,1968,Second hand,Second-hand,8,16,16
ALG,Soviet Union,1981,?,2,,Project-633,submarine,2,,1982; 1983,Second hand,Second-hand; loan,19.2,38.4,38.4
ALG,Soviet Union,1976,,1,,Project-771,landing ship,1,,1976,Second hand,Second-hand,8,8,8
ALG,Soviet Union,1985,?,2,,Project-877E,submarine,2,,1987; 1988,New,Algerian designation Mubarek,220,440,440
ALG,Soviet Union,1978,,2,,PRV-11,height-finding radar,2,?,1978; 1979,New,For use with S-75 (SA-2) and S-125 (SA-3) SAM systems,4,8,8
ALG,Soviet Union,1965,,1,,PRV-11,height-finding radar,1,?,1966,New,For use with S-75 (SA-2) SAM systems,4,4,4
ALG,Soviet Union,1978,,1,,PRV-9,height-finding radar,1,?,1981,New,For use with 9K33 (SA-8) SAM systems,3.5,3.5,3.5
ALG,Soviet Union,1982,?,2,?,PRV-9,height-finding radar,2,?,1984; 1986,New,For use with 2K12 (SA-6) SAM systems,3.5,7,7
ALG,Soviet Union,1977,?,200,?,R-23,SRAAM,200,?,1978; 1979; 1980,New,For MiG-23MF combat aircraft,0.12,24,24
ALG,Soviet Union,1978,?,150,?,R-40,BVRAAM,150,?,1979,New,For MiG-25P combat aircraft,0.15,22.5,22.5
ALG,Soviet Union,1981,?,5,?,S-125 Pechora,SAM system,5,?,1982,New,,17.5,87.5,87.5
ALG,Soviet Union,1965,,4,?,S-75 Dvina,SAM system,4,?,1966,New,,17.87,71.48,71.48
ALG,Soviet Union,1978,,2,?,S-75 Dvina,SAM system,2,?,1978; 1979,New,,17.87,35.74,35.74
ALG,Soviet Union,1967,?,6,,SO-1,patrol craft,6,?,1967; 1968,Second hand,Second-hand,6,36,36
ALG,Soviet Union,1965,?,31,?,SON-9,fire control radar,31,?,1966; 1967; 1968,New,For use with S-60 57mm; KS-12 85mm and KS-19 100mm AA guns,0.6,18.6,18.6
ALG,Soviet Union,1986,?,4,?,Rubezh/SS-C-3,coastal defence system,4,?,1986; 1987,New,,15,60,60
ALG,Soviet Union,1978,?,600,?,Strela-1,SAM,600,?,1979; 1980,New,,0.06,36,36
ALG,Soviet Union,1972,?,1000,?,Strela-2,portable SAM,1000,?,1972; 1973; 1974; 1975,New,,0.04,40,40
ALG,Soviet Union,1963,?,70,?,SU-100,tank destroyer,70,?,1964; 1965; 1966,Second hand,Second-hand; possibly aid,0.4,28,28
ALG,Soviet Union,1977,?,32,?,Su-20,FGA aircraft,32,?,1977; 1978,New,,12,384,384
ALG,Soviet Union,1990,?,10,?,Su-24,bomber aircraft,10,?,1991,New,Su-24MK version,35,350,350
ALG,Soviet Union,1972,?,30,?,Su-7B,FGA aircraft,30,?,1972; 1973,New,Su-7BMK version; possibly second-hand; incl some Su-7U version,6.25,187.5,187.5
ALG,Soviet Union,1963,?,100,,T-34-85,tank,100,,1964,Second hand,Second-hand,0.38,38,38
ALG,Soviet Union,1961,?,10,,T-34-85,tank,10,,1961,Second hand,Second-hand; based in Morocco during the Algerian war,0.38,3.8,3.8
ALG,Soviet Union,1965,?,25,,T-54,tank,25,,1966,Second hand,Second-hand,0.44,11,11
ALG,Soviet Union,1966,?,100,?,T-54,tank,100,?,1966; 1967,Second hand,Second-hand,0.44,44,44
ALG,Soviet Union,1963,?,40,?,T-54,tank,40,?,1963,New,Possibly second-hand,1.1,44,44
ALG,Soviet Union,1965,?,25,,T-55,tank,25,,1966,New,,1.25,31.25,31.25
ALG,Soviet Union,1966,?,100,?,T-55,tank,100,?,1967,New,,1.25,125,125
ALG,Soviet Union,1981,?,50,?,T-55,tank,50,?,1982,New,Possibly second-hand or from Czechoslovak production line,1.25,62.5,62.5
ALG,Soviet Union,1977,?,330,?,T-62,tank,330,?,1977; 1978; 1979,New,Probably from Czechoslovak production line,1.8,594,594
ALG,Soviet Union,1979,?,100,?,T-72,tank,100,?,1979; 1980; 1981; 1982,New,,2.14,214,214
ALG,Soviet Union,1990,?,200,?,T-72M1,tank,200,?,1990; 1991,New,,2.6,520,520
ALG,Soviet Union,1985,?,40,?,TEST-71,anti-ship/ASW torpedo,40,?,1987; 1988,New,For Project-877 (Kilo or Mubarek) submarines,1,40,40
ALG,Soviet Union,1981,?,175,?,V-601,SAM,175,?,1982,New,,0.12,21,21
ALG,Soviet Union,1965,,100,?,V-750,SAM,100,?,1966,New,,0.12,12,12
ALG,Soviet Union,1978,?,50,?,V-750,SAM,50,?,1978; 1979,New,,0.12,6,6
ALG,Soviet Union,1978,?,210,?,ZSU-23-4 Shilka,self-propelled AA gun,210,?,1979; 1980; 1981; 1982,New,,7,1470,1470
ALG,Soviet Union,1974,?,45,?,ZSU-57-2,self-propelled AA gun,45,?,1975; 1976,Second hand,Second-hand,0.48,21.6,21.6
ANG,Algeria,1980,,4,,N-262 Fregate,transport aircraft,4,,1980,Second hand,Second-hand; incl for MP,1.5,6,6
ANG,Brazil,1986,,2,,EMB-111,maritime patrol aircraft,2,?,1988,New,,5.5,11,11
ANG,Canada,1986,,4,,aircraft engine,aircraft engine,4,,1987,New,Pratt & Whitney Canada PT-6A-62 (950hp) turboprop; for 4 PC-9 trainer aircraft from Switzerland,0.35,1.4,1.4
ANG,Canada,1986,?,8,?,aircraft engine,aircraft engine,8,?,1990,New,Pratt & Whitney Canada PT-6A-25A (750hp) turboprop; for 8 PC-7 trainer aircraft from Switzerland,0.35,2.8,2.8
ANG,Canada,1981,,12,,aircraft engine,aircraft engine,12,,1982,New,Pratt & Whitney Canada PT-6A-25A (750hp) turboprop; for 12 PC-7 trainer aircraft from Switzerland,0.35,4.2,4.2
ANG,Canada,1980,,1,,APS-504(V),MP aircraft radar,1,,1980,New,For 1 F-27 Maritime MP aircraft from the Netherlands,2.5,2.5,2.5
ANG,Cuba,1975,,1,?,MiG-15UTI,trainer aircraft,1,?,1975,Second hand,Second-hand; aid,1.2,1.2,1.2
ANG,Czechoslovakia,1975,?,50,?,OT-62A TOPAS,APC,50,?,1976,Second hand,Probably second-hand,0.11,5.4,5.4
ANG,Czechoslovakia,1985,?,4,?,Z-142/Z-242L,trainer aircraft,4,?,1986,New,Zlin-142C version,0.1,0.4,0.4
ANG,France,1985,,6,,AS365/AS565 Panther,helicopter,6,,1986,New,AS-365M armed version; part of $47 m deal,3.25,19.5,19.5
ANG,France,1987,?,6,?,AS365/AS565 Panther,helicopter,6,?,1988; 1989,New,No. could be 10,3.25,19.5,19.5
ANG,France,1985,,180,?,HOT,anti-tank missile,180,?,1986; 1987,New,For 6 SA-342K and possibly 6 SA-365N helicopters,0.02,3.6,3.6
ANG,France,1979,?,6,,SA-316B Alouette-3,light helicopter,6,,1980,New,,0.9,5.4,5.4
ANG,France,1985,,6,?,SA-342 Gazelle,light helicopter,6,?,1986; 1987,New,Part of $47 m deal (incl 6 SA-365N helicopters); no. could be 7,0.85,5.1,5.1
ANG,Netherlands,1980,,1,,F-27 Maritime,maritime patrol aircraft,1,,1980,New,,8.5,8.5,8.5
ANG,Portugal,1975,?,1,,Alfange,landing craft,1,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,6,6,6
ANG,Portugal,1974,?,5,?,AML,armoured car,5,?,1974,Second hand,Second-hand; left behind after Portugese withdrawal at independence,0.28,1.4,1.4
ANG,Portugal,1975,,5,,Argos,patrol craft,5,,1975; 1976,Second hand,Second-hand; 2 more for spares only,2.8,14,14
ANG,Portugal,1974,?,27,?,Auster AOP,light aircraft,27,?,1975,Second hand,Second-hand; AOP-9 version; left behind after Portugese withdrawal at independence,0.03,0.76,0.76
ANG,Portugal,1975,,6,,B-26 Invader,bomber aircraft,6,,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,2,12,12
ANG,Portugal,1974,?,2,?,Beech-18/C-45,light transport aircraft,2,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,0.16,0.32,0.32
ANG,Portugal,1974,?,3,,C-47 Skytrain,transport aircraft,3,,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,1,3,3
ANG,Portugal,1974,?,2,?,Do-27,light transport aircraft,2,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,0.05,0.1,0.1
ANG,Portugal,1974,?,6,?,Noratlas,transport aircraft,6,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,2.8,16.8,16.8
ANG,Portugal,1983,,2,,SA-316B Alouette-3,light helicopter,2,,1983,Second hand,Second-hand,0.36,0.72,0.72
ANG,Portugal,1974,?,12,?,SA-316B Alouette-3,light helicopter,12,?,1975,Second hand,Second-hand; left behind after Portugese withdrawal at independence,0.36,4.32,4.32
ANG,Portugal,1992,?,4,,SA-316B Alouette-3,light helicopter,4,,1993,Second hand,Second-hand,0.36,1.44,1.44
ANG,Romania,1982,?,36,,SA-316B Alouette-3,light helicopter,36,?,1983; 1984; 1985,New,IAR-316B version; armed in France before delivery,0.9,32.4,32.4
