Name,ICB,ISO 3166-1 
Guinea-Bissau,GNB,GNB
Guyana,GUY,GUY
Honduras,HON,HND
Croatia,CRO,HRV
Haiti,HAI,HTI
Haiti rebels*,HAI,HTI
Hungary,HUN,HUN
Indonesia,INS,IDN
Indonesia rebels*,INS,IDN
Ireland,IRE,IRL
Israel,ISR,ISR
PLO (Israel)*,ISR,ISR
India,IND,IND
Iraq,IRQ,IRQ
Kurdistan Regional Government (Iraq)*,IRQ,IRQ
Iran ,IRN,IRN
Iceland,ICE,ISL
Italy,ITA,ITA
Jamaica,JAM,JAM
Jordan,JOR,JOR
Japan,JPN,JPN
Kenya,KEN,KEN
Kyrgyzstan,KYR,KGZ
Cambodia,CAM,KHM
Khmer Rouge (Cambodia)*,CAM,KHM
Kiribati,KIR,KIR
Comoros,COM,COM
Saint Kitts and Nevis,SKN,KNA
North Korea,PRK,PRK
"Korea, North",PRK,PRK
South Korea,ROK,KOR
"Korea, South",ROK,KOR
Kuwait,KUW,KWT
Kazakhstan,KZK,KAZ
Laos,LAO,LAO
Pathet Lao (Laos)*,LAO,LAO
Lebanon,LEB,LBN
Lebanon Palestinian rebels*,LEB,LBN
LF (Lebanon)*,LEB,LBN
Amal (Lebanon)*,LEB,LBN
SLA (Lebanon)*,LEB,LBN
Hezbollah (Lebanon)*,LEB,LBN
Saint Lucia,SLU,LCA
Liechtenstein,LIE,LIE
Sri Lanka,SRI,LKA
LTTE (Sri Lanka)*,SRI,LKA
Liberia,LBR,LBR
Lesotho,LES,LSO
Lithuania,LIT,LTU
Luxembourg,LUX,LUX
Latvia,LAT,LVA
Libya,LIB,LBY
Libya GNC,LIB,LBY
Libya HoR*,LIB,LBY
Morocco,MOR,MAR
Monaco,MNC,MCO
Moldova,MLD,MDA
Montenegro,,MNE
Madagascar,MAG,MDG
Marshall Islands,MSI,MHL
North Macedonia,,MKD
Mali,MLI,MLI
Myanmar,MYA,MMR
United Wa State (Myanmar)*,MYA,MMR
Mongolia,MON,MNG
Macao,MAC,MAC
Mauritania,MAA,MRT
Malta,MLT,MLT
Mauritius,MAS,MUS
Maldives,MAD,MDV
Malawi,MAW,MWI
Mexico,MEX,MEX
Malaysia,MAL,MYS
Mozambique,MZM,MOZ
Namibia,NAM,NAM
Niger,NIR,NER
Nigeria,NIG,NGA
Nicaragua,NIC,NIC
Contras (Nicaragua)*,NIC,NIC
Netherlands,NTH,NLD
Norway,NOR,NOR
Nepal,NEP,NPL
New Zealand,NEW,NZL
Oman,OMA,OMN
Panama,PAN,PAN
Peru,PER,PER
Papua New Guinea,PNG,PNG
Philippines,PHI,PHL
Pakistan,PAK,PAK
Poland,POL,POL
Puerto Rico,,PRI
Palestine,PAL,PSE
Hamas (Palestine)*,PAL,PSE
Portugal,POR,PRT
Paraguay,PAR,PRY
Qatar,QAT,QAT
Romania,RUM,ROU
Serbia,,SRB
Russian Federation,RUS,RUS
Soviet Union,RUS,RUS
USSR,RUS,RUS
Rwanda,RWA,RWA
Saudi Arabia,SAU,SAU
Solomon Islands,SOL,SLB
Seychelles,SEY,SYC
Sudan,SUD,SDN
SPLA (Sudan)*,SUD,SDN
Sweden,SWD,SWE
Singapore,SIN,SGP
Slovenia,SLV,SVN
Slovakia,SLO,SVK
Sierra Leone,SIE,SLE
San Marino,SNM,SMR
Senegal,SEN,SEN
Somalia,SOM,SOM
SNA (Somalia)*,SOM,SOM
Suriname,SUR,SUR
South Sudan,SSD,SSD
Sao Tome and Principe,STP,STP
El Salvador,SAL,SLV
FMLN (El Salvador)*,SAL,SLV
Syria,SYR,SYR
Syria rebels*,SYR,SYR
Chad,CHA,TCD
GUNT (Chad)*,CHA,TCD
Togo,TOG,TGO
Thailand,THI,THA
Tajikistan,TAJ,TJK
Timor-Leste,,TLS
Turkmenistan,TKM,TKM
Tunisia,TUN,TUN
Tonga,,TON
Turkey,TUR,TUR
Türkiye,TUR,TUR
Trinidad and Tobago,TRI,TTO
Taiwan,TAW,TWN
Tanzania,TAZ,TNZ
Ukraine,UKR,UKR
Ukraine Rebels*,UKR,UKR
Uganda,UGA,UGA
United States,USA,USA
United States of America,USA,USA
Uruguay,URU,URY
Uzbekistan,UZB,UZB
Saint Vincent ,SVG,VCT
Venezuela,VEN,VEN
North Vietnam,DRV,VNM
Viet Cong (South Vietnam)*,RVN,VNM
Viet Nam,,VNM
Viet Minh (France)*,,VNM
Vanuatu,VAN,VUT
"Yemen, North",YEM,YEM
Yemen Arab Republic (North Yemen),YEM,YEM
South Yemen,YPR,YEM
Southern rebels (Yemen)*,YPR,YEM
Yemen,,YEM
Houthi rebels (Yemen)*,,YEM
Mayotte,MYT,MYT
South Africa,SAF,ZAF
Zambia,ZAM,ZMB
Zimbabwe,ZIM,ZWE
ZAPU (Zimbabwe)*,ZIM,ZWE
Micronesia,FSM,
French West Africa,FWA,
Hijaz,HIJ,
Korea,KOR,
Kosovo,KOS,
Najd,NAJ,
Swaziland,SWA,
Tibet,TBT,
France (Vichy),VFR,FRA
Yugoslavia,YUG,
Zanzibar,ZAN,
African Union**,,
Biafra,,
eSwatini,,
Katanga,,
NATO**,,
Northern Cyprus,,
OSCE**,,
Palau,,
Regional Security System**,,
Samoa,,
United Nations**,,
unknown recipient(s),,
