Country name,ICB,ISO 3166-1 
Grenada,GRN,GRD
Guatemala,GUA,GTM
Guinea,GUI,GIN
Guinea-Bissau,GNB,GNB
Guyana,GUY,GUY
Haiti,HAI,HTI
Hijaz,HIJ,
Honduras,HON,HND
Hungary,HUN,HUN
Iceland,ICE,ISL
India,IND,IND
Indonesia,INS,IDN
Iran ,IRN,IRN
Iraq,IRQ,IRQ
Ireland,IRE,IRL
Israel,ISR,ISR
Italy,ITA,ITA
Jamaica,JAM,JAM
Japan,JPN,JPN
Jordan,JOR,JOR
Kazakhstan,KZK,KAZ
Kenya,KEN,KEN
Kiribati,KIR,KIR
Korea,KOR,
North Korea,PRK,PRK
South Korea,ROK,KOR
Kosovo,KOS,
Kuwait,KUW,KWT
Kyrgyzstan,KYR,KGZ
Laos,LAO,LAO
Latvia,LAT,LVA
Lebanon,LEB,LBN
Lesotho,LES,LSO
Liberia,LBR,LBR
Libya,LIB,LBY
Liechtenstein,LIE,LIE
Lithuania,LIT,LTU
Luxembourg,LUX,LUX
Macao,MAC,MAC
Madagascar,MAG,MDG
Malawi,MAW,MWI
Malaysia,MAL,MYS
Maldives,MAD,MDV
Mali,MLI,MLI
Malta,MLT,MLT
Marshall Islands,MSI,MHL
Mauritania,MAA,MRT
Mauritius,MAS,MUS
Mayotte,MYT,MYT
Mexico,MEX,MEX
Moldova,MLD,MD
Monaco,MNC,MCO
Mongolia,MON,MNG
Montenegro,,MNE
Morocco,MOR,MAR
Mozambique,MZM,MOZ
Myanmar,MYA,MMR
Najd,NAJ,
Namibia,NAM,NAM
Nepal,NEP,NPL
Netherlands,NTH,NLD
New Zealand,NEW,NZL
Nicaragua,NIC,NIC
Niger,NIR,NER
Nigeria,NIG,NGA
North Macedonia,,MKD
Norway,NOR,NOR
Oman,OMA,OMN
Pakistan,PAK,PAK
Palestine,PAL,PS
Panama,PAN,PAN
Papua New Guinea,PNG,PNG
Paraguay,PAR,PRY
Peru,PER,PER
Philippines,PHI,PHL
Poland,POL,POL
Portugal,POR,PRT
Puerto Rico,,PRI
Qatar,QAT,QAT
Romania,RUM,ROU
Russian Federation,RUS,RUS
Rwanda,RWA,RWA
San Marino,SNM,SMR
Sao Tome and Principe,STP,
Saudi Arabia,SAU,SAU
Senegal,SEN,SEN
Serbia,,SRB
Seychelles,SEY,SYC
Sierra Leone,SIE,SLE
Singapore,SIN,SGP
Slovakia,SLO,SVK
Slovenia,SLV,SVN
Solomon Islands,SOL,SLB
Somalia,SOM,SOM
South Africa,SAF,ZAF
South Sudan,SSD,SSD
Spain,SPN,ESP
Sri Lanka,SRI,LKA
Saint Kitts and Nevis,SKN,KNA
Saint Lucia,SLU,LCA
Saint Vincent and the Grenadines,SVG,VCT
Sudan,SUD,SDN
Suriname,SUR,SUR
Sweden,SWD,SWE
Swaziland,SWA,
Switzerland,SWZ,CHE
Syrian Arab Republic,SYR,SYR
Taiwan,TAW,TW
Tajikistan,TAJ,TJK
Tanzania,TAZ,TZ
Thailand,THI,THA
Tibet,TBT,
Togo,TOG,TGO
Trinidad and Tobago,TRI,TTO
Tunisia,TUN,TUN
Turkey,TUR,TUR
Turkmenistan,TKM,TKM
Uganda,UGA,UGA
Ukraine,UKR,UKR
United Arab Emirates,UAE,ARE
United Kingdom of Great Britain and Northern Ireland,UKG,GBR
United States of America,USA,USA
Uruguay,URU,URY
Uzbekistan,UZB,UZB
Vanuatu,VAN,VUT
Venezuela,VEN,VEN
Viet Nam,,VNM
North Vietnam,DRV,
South Vietnam,RVN,
Western Sahara,SPA,ESH
North Yemen,YEM,
South Yemen,YPR,
Yemen,,YEM
Yugoslavia,YUG,
Zambia,ZAM,ZMB
Zanzibar,ZAN,
Zimbabwe,ZIM,ZWE
